record_id,animal_id,farm_id,species,breed,age,weight,health_status,vaccination_history,medication_history,weather_data,temperature,humidity,precipitation,predicted_health_risk,recommended_action,_fivetran_deleted,_fivetran_synced
a8ff9779-13d7-429f-ae0e-4e1ee50bdee8,ANIMAL_000016,FARM_000000,Beef Cattle,Simmental,4,1889.94,Healthy,Not vaccinated,Previous,Sunny,3.38,11.77,53.99,0.03,Administer medication,false,2025-08-25 12:17:22.256000 UTC
da5f7cdd-ca54-487c-ab6f-57522a4bd986,ANIMAL_000010,FARM_000000,Beef Cattle,Wagyu,9,1736.48,Injured,Overdue,Current,Snowy,2.42,89.21,18.45,0.57,Administer medication,false,2025-08-25 12:17:22.257000 UTC
5e0a07aa-08d9-41ba-82ea-4bd878df94b0,ANIMAL_000015,FARM_000000,Beef Cattle,Angus,4,1658.19,Injured,Up-to-date,Previous,Windy,24.23,44.11,37.29,0.89,Administer medication,false,2025-08-25 12:17:22.255000 UTC
13d6f147-b163-4920-90da-7e04409b78a5,ANIMAL_000023,FARM_000001,Chickens,Sussex,8,8.65,Sick,Not vaccinated,Current,Snowy,28.45,35.03,45.8,0.15,Administer medication,false,2025-08-25 12:17:22.255000 UTC
c9eadeea-9acf-4a12-9e55-c34064449e8f,ANIMAL_000027,FARM_000001,Chickens,Marans,8,3.4,Recovering,Not vaccinated,None,Rainy,28.53,28.33,97.56,0.45,Administer medication,false,2025-08-25 12:17:22.256000 UTC
94544d03-4b8f-4469-9b0c-feefe544bfe6,ANIMAL_000033,FARM_000001,Chickens,Wyandotte,2,9.26,Deceased,Overdue,None,Sunny,17.06,13.01,98.07,0.95,Administer medication,false,2025-08-25 12:17:22.256000 UTC
1e51c5e0-f597-4214-8798-c56cd5acc4de,ANIMAL_000047,FARM_000001,Chickens,Wyandotte,7,5.28,Injured,Up-to-date,Previous,Cloudy,9.61,71.29,44.6,0.4,Administer medication,false,2025-08-25 12:17:22.255000 UTC
3e261494-2554-4238-bff8-2aeb049ebd41,ANIMAL_000046,FARM_000001,Chickens,Wyandotte,10,7.89,Healthy,Up-to-date,None,Snowy,-10.96,81.74,84.09,0.38,Administer medication,false,2025-08-25 12:17:22.255000 UTC
1e9cb43c-37f5-4dda-8bf4-7c7c27ebd758,ANIMAL_000051,FARM_000001,Chickens,Leghorn,7,10.03,Injured,Overdue,Current,Snowy,39.88,75.57,58.34,0.09,Administer medication,false,2025-08-25 12:17:22.255000 UTC
3ca30988-ee9b-40ce-9bbf-3e2aa63d1ddf,ANIMAL_000040,FARM_000001,Chickens,Rhode Island Red,7,3.39,Injured,Up-to-date,Current,Sunny,-8.84,59.61,73.16,0.05,Administer medication,false,2025-08-25 12:17:22.255000 UTC
510085d4-a76a-4a51-89cc-5273bb32212e,ANIMAL_000048,FARM_000001,Chickens,Marans,2,9.78,Recovering,Up-to-date,Current,Cloudy,0.51,67.09,9.25,0.18,Administer medication,false,2025-08-25 12:17:22.255000 UTC
081a452e-53b9-4cb0-bcbf-5f168a5a8284,ANIMAL_000042,FARM_000001,Chickens,Plymouth Rock,2,3.38,Deceased,Up-to-date,Current,Cloudy,-3.85,83.62,13.94,0.32,Administer medication,false,2025-08-25 12:17:22.255000 UTC
aa1f9d58-f4e7-4dc3-8b0c-98bc342d2dfb,ANIMAL_000032,FARM_000001,Chickens,Brahma,6,7.18,Healthy,Overdue,Current,Sunny,18.21,44.36,94.4,0.66,Administer medication,false,2025-08-25 12:17:22.256000 UTC
e9cc5b3c-6b4d-40f4-b81f-8b026b4dce09,ANIMAL_000022,FARM_000001,Chickens,Buff Orpington,6,9.6,Injured,Up-to-date,Previous,Windy,34.6,20.66,14.54,0.84,Administer medication,false,2025-08-25 12:17:22.257000 UTC
92bfe30a-29fd-49fc-9ca0-ad82af57d873,ANIMAL_000024,FARM_000001,Chickens,Buff Orpington,7,9.94,Deceased,Not vaccinated,Previous,Rainy,21.08,31.85,32.02,0.08,Administer medication,false,2025-08-25 12:17:22.256000 UTC
51053c67-7a8b-4915-be8c-b5f3fda9aa06,ANIMAL_000070,FARM_000002,Pigs,Mangalitsa,6,418.19,Injured,Up-to-date,None,Rainy,24.26,88.24,37.28,0.48,Administer medication,false,2025-08-25 12:17:22.255000 UTC
771137e1-4ffc-4268-9677-080d1c888f7b,ANIMAL_000059,FARM_000002,Pigs,Yorkshire,5,354.66,Deceased,Overdue,Current,Windy,-15.72,71.02,8.74,0.49,Administer medication,false,2025-08-25 12:17:22.256000 UTC
a0fe1554-f14f-41bc-befe-5e8818985bb8,ANIMAL_000074,FARM_000002,Pigs,Berkshire,6,322.6,Injured,Not vaccinated,Previous,Rainy,11.27,35.14,87.43,0.81,Administer medication,false,2025-08-25 12:17:22.256000 UTC
baaaf64b-adf5-4edf-a3f6-8d99fb27e806,ANIMAL_000066,FARM_000002,Pigs,Chester White,3,490.83,Recovering,Not vaccinated,Current,Cloudy,26.09,39.21,36.11,0.83,Administer medication,false,2025-08-25 12:17:22.256000 UTC
fc12ada9-5ed7-4103-9233-9f28fdf4da40,ANIMAL_000064,FARM_000002,Pigs,Landrace,2,407.71,Injured,Not vaccinated,Current,Rainy,29.7,61.69,94.34,0.13,Administer medication,false,2025-08-25 12:17:22.257000 UTC
4e6f1147-92fe-45ff-95d8-c4971c218626,ANIMAL_000076,FARM_000002,Pigs,Yorkshire,3,370.45,Injured,Overdue,Previous,Sunny,8.37,17.08,72.79,0.43,Administer medication,false,2025-08-25 12:17:22.255000 UTC
90338981-53d2-491b-8c64-5b332df8ee58,ANIMAL_000084,FARM_000002,Pigs,Mangalitsa,2,592.01,Deceased,Up-to-date,Current,Snowy,-4.8,64.95,89.64,0.5,Administer medication,false,2025-08-25 12:17:22.256000 UTC
c9d7aa2f-8322-4b03-b018-ff836e9876b2,ANIMAL_000067,FARM_000002,Pigs,Hampshire,5,231.57,Sick,Not vaccinated,Previous,Snowy,-5.06,69.96,14.79,0.51,Administer medication,false,2025-08-25 12:17:22.256000 UTC
